Field,Policy,DMK,AIADMK,NTK,TVK
Direct Welfare & Household Subsidies,Monthly cash to households / individuals,"Kalaignar Magalir Urimai Thogai monthly entitlement for eligible women heads of households increased from ₹1,000 to ₹2,000 per month, with additional beneficiaries added every year.[web:31][web:121][web:124][web:125] Old‑age and widow pensions for senior citizens, widows and unmarried women above 50 raised to about ₹2,000 per month.[web:10][web:31][web:121][web:124] Pensions for many categories of differently abled persons increased to around ₹2,500 per month and maintenance allowance for severely affected persons to about ₹4,000 per month.[web:10][web:31][web:124][web:126]","Kula Vilakku Scheme: ₹2,000 per month to all ration‑card‑holding families, credited to the bank account of the female head of household.[web:44][web:58][web:61][web:100] One‑time special assistance of ₹10,000 per family to offset higher taxes and living costs.[web:44][web:58][web:61][web:45] Social‑security pensions (senior citizens, widows, unmarried elderly women, persons with disabilities and transgender persons) increased from ₹1,200 to ₹2,000 per month.[web:57]",,"Madhippumigu Magalir Thittam: ₹2,500 per month to women heads of families up to age 60 (excluding state/central government employees).[web:109][web:111][web:114][web:119] Separate monthly assistance of ₹2,500 for elderly women (≥60 years) in poor families.[web:110][web:119][web:142]"
Direct Welfare & Household Subsidies,Free / subsidised LPG cylinders,,Three free LPG cooking gas cylinders per year for every rice‑ration‑card‑holding family.[web:44][web:58][web:61][web:57][web:52][web:55],,Annapoorani “Super Six” Scheme: six free LPG cylinders per family per year for all households in Tamil Nadu.[web:107][web:109][web:110][web:113][web:114][web:116][web:119][web:142]
Direct Welfare & Household Subsidies,One‑time household assets / marriage gold / baby kits,"Illatharasi scheme: non–income‑tax‑paying women in eligible families receive a one‑time coupon worth ₹8,000 to buy or replace household appliances such as TV, fridge, mixer, washing machine, induction or electric stove.[web:10][web:31][web:36][web:101][web:123][web:125][web:128][web:131]",Free refrigerators for all women heads of families holding rice ration cards (about 2.22 crore households).[web:2][web:44][web:46][web:48][web:52][web:55][web:58][web:61],,"Annan Seer marriage scheme: 1 sovereign (8 g) of gold plus a silk saree as marriage assistance for women beneficiaries.[web:107][web:109][web:111][web:114][web:116][web:119] “Thai Maaman Thanga Mothiram” newborn‑support scheme: gold ring plus newborn kit (powder, oil, diapers, etc.) for every child born in Tamil Nadu.[web:109][web:110][web:114][web:116][web:142]"
Direct Welfare & Household Subsidies,Rations & in‑kind household support,,"PDS expansion: 1 kg dal and 1 litre cooking oil free per ration card per month, in addition to existing free rice.[web:52][web:44][web:58][web:61]",Free drinking water supply as a state‑provided basic service.[web:71][web:73][web:22],"Free sanitary pads for girl students distributed via ration shops, schools and colleges.[web:109][web:114][web:116][web:119]"
School Education & Student Welfare,Curriculum / language / behavioural changes,,,"Tamil as the primary medium of instruction with a one‑language policy in schools, English retained as a compulsory subject.[web:71] School curriculum to incorporate life‑skills such as household work, environmental care and social responsibility to promote gender equality.[web:22][web:25]",Anti‑drug protection zones and anti‑drug clubs in all schools and colleges to educate students on narcotics and create drug‑free campuses.[web:90][web:91][web:93][web:94][web:142]
School Education & Student Welfare,Student financial support / food / devices,"Chief Minister’s Breakfast Scheme extended up to Class 8, adding roughly 15 lakh additional students to the free breakfast coverage.[web:10][web:31][web:36][web:59][web:99][web:100][web:121][web:122] Monthly assistance in Pudhumai Penn and Tamil Pudhalvan schemes increased from ₹1,000 to ₹1,500 per month for eligible college students.[web:10][web:31][web:36][web:72][web:121][web:124] Plan to distribute about 35–36 lakh free laptops to higher‑education students over five years.[web:10][web:31][web:36][web:39][web:121][web:124][web:131]",,Free education from primary school up to PhD level in government institutions.[web:71][web:73][web:24][web:16][web:22],"Kamarajar Education Assurance: ₹15,000 per year to the mother/guardian of every student from Class 1 to 12 to prevent dropouts.[web:107][web:109][web:110][web:111][web:113][web:114][web:119][web:142] Free sanitary pads for all school and college girls through ration shops/schools.[web:109][web:114][web:116][web:119]"
"Higher Education, Youth & Employment",Unemployment relief cash / stipends,"Naan Mudhalvan training stipend: ₹1,500 per month for six months for 5 lakh higher‑education graduates undergoing skill training.[web:10][web:31][web:33][web:36][web:59][web:69]","Monthly assistance of ₹2,000 for unemployed graduates and ₹1,000 for those educated up to Class 12.[web:49][web:57]",,"Monthly unemployment assistance of ₹4,000 for unemployed graduates, funded via a Youth Welfare Fund.[web:77][web:79][web:80][web:90][web:91][web:93][web:94][web:95][web:142] Additional ₹2,000 per month for diploma holders as unemployment aid.[web:87][web:142]"
"Higher Education, Youth & Employment",Job‑creation KPIs / employment programmes,Target to attract ₹18 lakh crore investments and create 50 lakh jobs over five years.[web:10][web:31][web:33][web:36][web:59][web:75][web:101][web:124],Expansion of rural employment guarantee from 125 to 150 days of wage work per household per year.[web:47][web:50][web:56][web:60][web:100],,"5 lakh “CM’s public service friends” posts across every panchayat and urban local body, each paid about ₹18,000 per month to deliver government services at the doorstep.[web:80][web:94][web:142] 5 lakh internships per year across government and private sectors with stipends (higher for IT roles).[web:79][web:94][web:142]"
"Higher Education, Youth & Employment",Quotas / reservations,,NEET quota for government‑school students in medical admissions raised from 7.5% to 10%.[web:2][web:46][web:75][web:100],"Reservation in education and employment to be restructured in proportion to population shares of communities (including Aadhi Tamizhar), and 50% of job opportunities reserved for women.[web:24][web:16][web:71]","“Local employment for local people” scheme: at least 75% of jobs in Tamil Nadu (especially in private companies) to be for local Tamils, linked to access to state incentives.[web:79][web:80][web:94][web:81][web:82][web:90][web:91]"
"Higher Education, Youth & Employment",Education‑loan support / waivers,,Government to take over and completely waive education loans obtained from banks for students.[web:2][web:45][web:49][web:54][web:57][web:18][web:30],,"Collateral‑free education loans up to ₹20 lakh for students from Class 12 to PhD to cover fees and related education costs (no waiver, only support).[web:79][web:80][web:94][web:81][web:87][web:142]"
"Economy, MSMEs & Startups",Startup / small‑business loans & waivers,"Collateral‑free loans up to ₹5 lakh, with subsidies, for women self‑help group members and other small entrepreneurs.[web:31][web:121][web:125][web:131] Loan ceilings through state development corporations for minorities and backward classes increased up to about ₹30 lakh.[web:59][web:124]",Interest‑free loans for minority women to start self‑employment ventures.[web:45][web:49][web:57] Loan waivers for differently abled individuals and small traders; subsidies for auto‑drivers to buy new vehicles.[web:49][web:57],,Interest‑free startup loans up to ₹25 lakh for young entrepreneurs without collateral.[web:15][web:79][web:81][web:87][web:94] Interest‑free loans up to ₹5 lakh for women self‑help groups under a Singa Pengal development scheme.[web:109][web:114][web:119][web:142]
"Economy, MSMEs & Startups",Business‑tax / GST / tariff incentives,,,,"Companies employing at least 75% local Tamils eligible for a 2.5% subsidy on state GST and a 5% concession on electricity tariffs, plus priority in government procurement.[web:15][web:79][web:94][web:82][web:81][web:142]"
"Economy, MSMEs & Startups",Entrepreneur‑support schemes (non‑loan),"Technology and “neo tidal” IT parks to be set up in every district, targeting about 2 lakh new jobs by 2030; 1,000 childcare centres in industrial areas to support working women.[web:31][web:59][web:124][web:127]","Amma Two‑Wheeler scheme: ₹25,000 subsidy for five lakh working women purchasing two‑wheelers.[web:45][web:47][web:49][web:50][web:54][web:139] Free Wi‑Fi in major cities and tourist centres.[web:2][web:48]",Zero‑waste industrial policy with mandatory waste‑to‑resource conversion and strict factory environmental audits.[web:22][web:25][web:71],“Creative Entrepreneurs Scheme” to support 1.5 lakh creator‑entrepreneurs and establish 500 creative schools to train digital creators.[web:3][web:15][web:90][web:94][web:142]
Agriculture & Fisheries,MSP / procurement‑price targets,"Paddy procurement price to be raised to ₹3,500 per quintal and sugarcane procurement price to ₹4,500 per tonne.[web:10][web:31][web:33][web:35][web:36][web:101][web:131]","MSP for paddy fixed at ₹3,500 per quintal and sugarcane price at ₹4,500 per tonne.[web:2][web:48][web:57][web:139]",,
Agriculture & Fisheries,Equipment subsidies / agri infrastructure,Free modern electric pump sets without meters for more than 20 lakh farmers currently receiving free agricultural electricity.[web:10][web:31][web:36][web:101][web:121][web:123][web:125][web:128][web:131],"100% subsidy for solar pump sets for new agricultural power connections; rooftop‑solar subsidy of ₹30,000 for 1 kW and ₹60,000 for 2 kW systems.[web:2][web:48]","Agriculture and livestock rearing to be formally recognised as government–acknowledged occupations; large‑scale palmyra planting, water‑body restoration and district‑level cold‑storage chains promised to support farming and food security.[web:16][web:22][web:21][web:71][web:144]",
Agriculture & Fisheries,Fisherfolk relief / insurance,,Accident‑insurance cover of ₹25 lakh for fishermen dying at sea; free accident‑insurance scheme for unorganised vehicle drivers.[web:2][web:48][web:139],,
Public Health & Healthcare,Hospital / clinic infrastructure,Doubling of dialysis facilities in government hospitals across Tamil Nadu.[web:31][web:121][web:124],,"Multi‑specialty government hospital in every district.[web:24][web:22] Dedicated hospital in Tiruchirappalli for transgender and trans‑masculine communities.[web:16][web:22] “Medical Tourism City” integrating allopathy, Siddha and Ayurveda.[web:16][web:22]",
Public Health & Healthcare,Insurance schemes & coverage,Chief Minister’s Comprehensive Health Insurance Scheme: coverage increased to ₹10 lakh per family per year; eligibility income ceiling raised to ₹5 lakh per year.[web:10][web:31][web:36][web:101][web:121][web:124][web:126],IVF treatment to be brought under the Chief Minister’s Health Insurance Scheme; free accident‑insurance scheme for unorganised drivers and ₹25 lakh cover for fishermen.[web:2][web:48][web:139],"Commitment to free healthcare for all citizens in government institutions, and mandatory use of public hospitals and schools by politicians’ families (binary institutional requirement rather than rupee amount).[web:71][web:73][web:22]",
"Infrastructure, Transit & Energy",Bus‑transit subsidies / free travel,"Continuation of fare‑free bus travel for women under Vidiyal Payanam.[web:98][web:99][web:100][web:101][web:132] Procurement of 10,000 new buses over five years, most of them electric.[web:31][web:59][web:66][web:68]","Free town‑bus travel to be extended to men, in addition to existing free bus travel for women and senior citizens.[web:44][web:47][web:50][web:58][web:60][web:61][web:63][web:100][web:103]",,Vetri/Vettri Payanam: free bus travel for women in all government buses across Tamil Nadu.[web:110][web:111][web:113][web:114][web:116][web:119][web:142]
"Infrastructure, Transit & Energy",Electricity / solar subsidies,Continuation of free electricity scheme for more than 20 lakh agricultural connections with provision of free electric pump sets without meters.[web:31][web:36][web:101][web:121][web:122][web:124][web:125][web:128][web:131],"100% subsidy for solar pump sets for new agri connections; rooftop‑solar subsidy of ₹30,000 (1 kW) and ₹60,000 (2 kW).[web:2][web:48]","Zero‑waste and climate‑focused industrial policy including mandatory waste‑to‑energy / waste‑to‑resource conversion in factories (binary regulatory requirement, not numeric target).[web:16][web:22][web:144]",Companies with ≥75% local‑Tamil employees receive a 5% electricity‑tariff concession in addition to GST incentives.[web:15][web:79][web:94][web:82][web:81][web:142]
"Infrastructure, Transit & Energy","Mega‑infrastructure (housing, cities, transit)","Construction of 10 lakh new concrete houses by 2030 under state housing schemes.[web:10][web:31][web:33][web:36][web:69][web:121][web:124] Allocation of about ₹10,000 crore to upgrade roughly 15,000 km of rural roads.[web:10][web:59][web:69][web:124] Development of four “future‑ready” global cities around Coimbatore, Salem, Madurai and Tiruchirappalli; 50 new Semmozhi Poongas in corporations and major municipalities.[web:10][web:31][web:33][web:36][web:59][web:35][web:128]","International‑standard cricket stadium in Coimbatore.[web:2] Metro‑rail projects in Madurai and Coimbatore and a metro link between Kilambakkam and Chennai Airport to be expedited.[web:2] Amma Illam urban‑housing scheme for the homeless, including land acquisition for landless families.[web:45][web:139]","Creation of five capital cities: Tiruchirappalli (administrative), Chennai (technological), Coimbatore (industrial), Madurai (cultural), Kanyakumari (spiritual/philosophical); relocation of Secretariat and Assembly to Tiruchirappalli.[web:71][web:73][web:74][web:24][web:28][web:144] Tourism infrastructure to strengthen sites like Keeladi and Thanjavur Big Temple, with free pilgrim transport during festivals.[web:16][web:22][web:24][web:144]",
"Governance, Law & Social Justice",Anti‑drug / prohibition actions,,Special Anti‑Drug Task Force with strict use of existing laws including the Goondas Act against traffickers.[web:2][web:57][web:100],Complete prohibition of liquor across Tamil Nadu (closure of government liquor outlets).[web:71][web:140],"Drug‑free Tamil Nadu plan: anti‑drug zones and clubs in all schools/colleges, community‑policing structures, 500 women‑led “Rani Velu Nachiyar” safety teams with body‑cams, panic buttons in public transport and fast‑track courts for crimes against women.[web:90][web:91][web:93][web:94][web:111][web:142][web:145]"
"Governance, Law & Social Justice",Women’s representation,,,50% of job opportunities in public employment and designated sectors reserved for women.[web:71][web:22],
"Governance, Law & Social Justice",Administrative restructuring / digital state,"Single digital application gateway to access about 1,000 government services, supported by “Ungaludan Stalin” and “Nalam Kaakkum Stalin” doorstep service camps.[web:10][web:31][web:33][web:69][web:72][web:125]",,Five‑capital model with relocation of key state institutions (Secretariat and Assembly to Tiruchirappalli) and a separate ministry for persons with disabilities.[web:71][web:73][web:24][web:28][web:22][web:144] Opposition to electoral bonds and call for transparent political funding.[web:16][web:21][web:140],"Tamil Nadu Recruitment Accountability and Transparency Act to standardise and make time‑bound, transparent recruitment to government posts; creation of a Youth Advisory Council and CM’s public service friends delivering “100% government services” at the doorstep.[web:79][web:80][web:94][web:87][web:142][web:153]"
