AC No,Constituency,Candidate
1,Gummidipoondi,S. Vijayakumar
2,Ponneri,Dr. M S Ravi
3,Tiruttani,Dr. Sathyakumar
4,Thiruvallur,Dr. Arunkumar
5,Poonamallee,R. Prakasam
6,Avadi,R. Rameshkumar
7,Maduravoyal,P. Revanth Saran
8,Ambattur,G. Balamurugan
9,Madavaram,M. L. Vijay Prabhu
10,Thiruvottiyur,Senthilkumar
11,Dr.Radhakrishnan Nagar,Maria Wilson
12,Perambur,C Joseph Vijay
13,Kolathur,VS. Babu
14,Villivakkam,Adhav Arjuna
15,Thiru-Vi-Ka-Nagar,M R Pallavi
16,Egmore,Rajmohan
17,Royapuram,K V Vijayathamu
18,Harbour,Sinora Ashok
19,Chepauk-Thiruvallikeni,D. Selvam
20,Thousand Lights,JCD Prbhakar
21,Anna Nagar,V K Ramkumar
22,Virugampakkam,Sabarinathan
23,Saidapet,M. Arulprakasham
24,Thiyagarayanagar,Bussy N Anand
25,Mylapore,Venkatramanan
26,Velachery,R. Kumar
27,Shozhinganallur,P. Saravanamoorthy
28,Alandur,M . Harish
29,Sriperumbudur,K . Thennarasu
30,Pallavaram,J. Kamatchi
31,Tambaram,Sarathkumar
32,Chengalpattu,S. Thiyagarajan
33,Thiruporur,Vijayaraj
34,Cheyyur,K Mohanraja
35,Madurantakam,Munithnam
36,Uthiramerur,R V Ranjithkumar
37,Kancheepuram,R. V . Ranjithkumar
38,Arakkonam,V. Gandhiraj
39,Sholingur,G. Kapil
40,Katpadi,M. Sudhakar
41,Ranipet,Dhaheera
42,Arcot,G. Vijaymohan
43,Vellore,M.M. Vinoth Kannan
44,Anaikattu,R. Velmurugan
45,Kilvaithinankuppam,E. Thendral Kumar
46,Gudiyattam,K. Sindhu
47,Vaniyambadi,S. Sayed
48,Ambur,P. Imdhiyas
49,Jolarpet,C. Munisamy
50,Tirupattur,Dr. M. Thiruppathi
51,Uthangarai,B. Kumaravel
52,Bargur,E. Muralidharan
53,Krishnagiri,Muhundh R. Pandian
54,Veppanahalli,Sambangi
55,Hosur,M. Ambarish
56,Thalli,G. Suresh
57,Palacode,R. Gopi
58,Pennagaram,Kajendran
59,Dharmapuri,M. Sivan
60,Pappireddippatti,S. Thilavathi
61,Harur,K. Rakesh
62,Chengam,K Bharathidhasan
63,Tiruvannamalai,Arul Arumugam
64,Kilpennathur,D Raja
65,Kalasapakkam,C.Elumalai
66,Polur,R.Abishek
67,Arani,A.Venkatesan Kumar
68,Cheyyar,V.C.K.Mohan
69,Vandavasi,Udhayakumar
70,Gingee,V.Chandrasekaran
71,Mailam,A.Vijay Niranjan
72,Tindivanam,S.Sakthivel
73,Vanur,G.P.Suresh
74,Villupuram,N.Mohanraj
75,Vikravandi,A. Vijay Vadivel
76,Tirukkoyilur,Barani Balaji
77,Ulundurpettai,M .Sudhakar
78,Rishivandiyam,G. Ashokkumar
79,Sankarapuram,A. Jagadeesan
80,Kallakurichi,C. Arul Vignesh
81,Gangavalli,V. Sujatha
82,Attur,R. Selvabharathi
83,Yercaud,J. Lakshmi
84,Omalur,R. V. Adhiyaman
85,Mettur,K. Selvam
86,Edappadi,M. Arunkumar
87,Sankari,Senthilkumar
88,Salem (West),S.Lakshmanan
89,Salem (North),K.Sivakumar
90,Salem (South),A.Vijay Tamilan Parthiban
91,Veerapandi,M.S.Palanivel
92,Rasipuram,Lokesh Dhanapal
93,Senthamangalam,P.Chandrasekar
94,Namakkal,T.S.Dileep
95,Paramathi-Velur,A.Nandhakumar
96,Tiruchengodu,K.G. Arunraj
97,Kumarapalayam,C. Vijayalakshmi
98,Erode (East),M.Vijay Balaji
99,Erode (West),K.K.Anand Mohan
100,Modakkurichi,D.Shanmugam
101,Dharapuram (SC),S. Gowri Chithra
102,Kangayam,T. Mani
103,Perundurai,V. T . Arunachalam
104,Bhavani,M.P. Balakrishnan
105,Anthiyur,M. Vijay Venkatesh
106,Gobichettipalayam,K. A. Sengottaiyan
107,Bhavanisagar,V.P. Tamil Selvi
108,Udhagamandalam,R. Ibrahim
109,Gudalur,A. Deepak Sai Kishore
110,Coonoor,C. Thangaraj
111,Mettuppalayam,N. Sunil Anand
112,Avanashi (SC),S. Kamali
113,Tiruppur (North),Sathyabama
114,Tiruppur (South),S. Balamurugan
115,Palladam,K . Ramkumar
116,Sulur,N.M. Sukumar
117,Kavundampalayam,R. T. Kanimozhi
118,Coimbatore (North),V. Sampathkumar
119,Thondamuthur,R. Sathish Raju
120,Coimbatore (South),V. Senthil Kumar
121,Singanallur,K.S. Giriprashath
122,Kinathukadavu,K. Vignesh
123,Pollachi,G. Ramanathan
124,Valparai,Dr. Sreedharan
125,Udumalaipettai,G. K. Shankar
126,Madathukulam,R. Thirumalai
127,Palani,Dr. M. Praveenkumar
128,Oddanchatram,S. Mohan
129,Athoor,N. Kalaiselvi
130,Nilakkottai,R. Ayyanar
131,Natham,L. L. Ramesh
132,Dindigul,Nazeer Raja
133,Vedasandur,Dr N.Nagajothi
134,Aravakurichi,Karthikeyan
135,Karur,V.P.Mathiyalagan
136,Krishnarayapuram,S.Madhan
137,Kulithalai,G.Balasubramani
138,Manapparai,R.Kathiravan
139,Srirangam,S.Ramesh
140,Tiruchirappalli (West),G.Ramamoorthy
141,Tiruchirappalli (East),C Joseph Vijay
142,Thiruverumbur,Navalpattu S.Viji
143,Lalgudi,K. P Krishnan
144,Manachanallur,V.Saravanan
145,Musiri,N.Vignesh
146,Thuraiyur,K.Sivakumar
147,Perambalur,K.Sivakumar
148,Kunnam,M.Revathi
149,Ariyalur,M.Sivakumar
150,Jayankondam,Kavitha G Rajendran
151,Tittagudi (SC),Rajasekar
152,Vridhachalam,S.Vijay
153,Neyveli,K.Anand
154,Panruti,M.Manikandan
155,Cuddalore,V.Rajkumar
156,Kurinjipadi,Dr Rajkumar
157,Bhuvanagiri,D.MMahalingam
158,Chidambaram,Dr N.Pari
159,Kattumannarkoil(SC),S.Srinivasan
160,Sirkazhi,C.S.Gopinath
161,Mayiladuthurai,C.S.Arun Rasheeth
162,Poompuhar,K.Vijayalayan
163,Nagapattinam,N.Sukumar
164,Kilvelur,D.A.P.Senthilpandiyan
165,Vedaranyam,A.Kingsley Gerald
166,Thiruthuraipoondi,S.Pandiyan
167,Mannargudi,UVM Rajarajan
168,Thiruvarur,V. Veeramani
169,Nannilam,S. Prabhakaran
170,Thiruvidaimarudur,S. Prabhakaran
171,Kumbakonam,R. Vinoth
172,Papanasam,U. Azarudeen
173,Thiruvaiyaru,M . Manikandan
174,Thanjavur,R. Vijay Saravanan
175,Orathanadu,Dr. K Aravind
176,Pattukkottai,C Madhan
177,Peravurani,T Chandra Kaandeeban
178,Gandharvakottai,N Subramanian
179,Viralimalai,P Murugesan
180,Pudukkottai,K.M Shareef
181,Thirumayam,C Sindhamani
182,Alangudi,Durai Kandasamy
183,Aranthangi,J Mohamad Parvez
184,Karaikudi,Dr. T. K. Prabhu
185,Tiruppattur,Srinivasa Sethupathi
186,Sivaganga,Kulandhai Rani Nachiar
187,Manamadurai,D. Ilangovan
188,Melur,A. Madurai Veeran
189,Madurai East,S.Karthikeyan
190,Sholavandan,M.V.Karuppaiah
191,Madurai North,A.Kallanai
192,Madurai South,J. Jo Peter
193,Madurai Central,V.N.S.Mustafa
194,Madurai West,S.R.Thangapandi
195,Thiruparankundram,CTR.Nirmalkumar
196,Thirumangalam,N.Sathish Kumar
197,Usilampatti,Vijay Mahalingam
198,Andipatti,V.Pandi
199,Periyakulam,G.Sabari
200,Bodinayakanur,S.Prakash
201,Cumbum,P.L.A Jaganath
202,Rajapalayam,K.Jagadeeswari
203,Srivilliputhur,A.Karthik
204,Sattur,M.Ajith
205,Sivakasi,Keerthana
206,Virudhunagar,S.P.Selvam
207,Aruppukkottai,K.Karthik kumar
208,Tiruchuli,S.Samayan
209,Paramakudi,G.Gopinathan
210,Tiruvadanai,V.K.Raji
211,Ramanathapuram,E.K.Sahul Hameed
212,Mudhukulathur,V.Malarvizhi Jayabala
213,Vilathikulam,Kasiram
214,Thoothukkudi,A.Srinath
215,Tiruchendur,K.Murugan
216,Srivaikuntam,G.Saravanan
217,Ottapidaram,P.Madhanraja
218,Kovilpatti,S.Balasubramaniam
219,Sankarankovil,C.Ramarajan
220,Vasudevanallur,R.Amudha Rani
221,Kadayanallur,R.K.Abdul Jalil
222,Tenkasi,A.Rajaprakash
223,Alangulam,V.Vipin Chakravarthi
224,Tirunelveli,R.S.Murugan
225,Ambasamudram,S.Rajagopal
226,Palayamkottai,S.Maria John
227,Nanguneri,Rettiyapatti Narayanan
228,Radhapuram,K.Satheesh Christopher
229,Kanniyakumari,S.R.Madhavan
230,Nagercoil,G.King
231,Colachel,Prem Alex Lawrence
232,Padmanabhapuram,S.Krishnakumar
233,Vilavancode,K.Michael Kumar
234,Killiyoor,S.Sabeer
